Min,Max,Avg
-9.7,43.900000000000006,17.23118664281455
-9.7,43.8,17.196164491894027
-9.7,43.8,17.182778438367023
-9.7,44.05,17.20931800158604
-9.7,43.8,17.15476096404583
-10.0,43.8,17.19480776852953
-9.7,44.05,17.196951464099477
-9.7,43.8,17.179567546121802
-9.7,44.14999999999999,17.267449799196786
-9.7,44.05,17.223162583518935
-9.7,43.8,17.195525949492943
-9.7,44.25,17.378651919866446
-9.7,43.650000000000006,17.8427451811057
-9.7,43.75,17.883705932932074
-9.7,43.75,17.90259211653813
-9.7,43.89999999999999,17.863369266539845
-9.7,43.89999999999999,17.846604611804526
-9.7,43.75,17.883340434597358
